area,price,location
42.0,822000,"Wrocław, Stare Miasto"
42.0,489400,"Wrocław, Fabryczna"
80.1,870000,"Wrocław, Śródmieście"
36.0,500000,"Wrocław, Stare Miasto"
66.86,599999,"Wrocław, Śródmieście"
79.67,795000,"Wrocław, Fabryczna"
34.0,530000,"Wrocław, Stare Miasto"
42.0,580000,"Wrocław, Stare Miasto"
58.0,800000,Wrocław
38.04,610000,"Wrocław, Śródmieście"
50.0,799000,"Wrocław, Stare Miasto"
86.0,1299000,"Wrocław, Śródmieście"
17.1,252000,"Wrocław, Krzyki"
66.0,940000,"Wrocław, Krzyki"
20.35,400000,"Wrocław, Stare Miasto"
42.0,580000,"Wrocław, Stare Miasto"
46.24,655000,"Wrocław, Śródmieście"
80.3,795000,"Wrocław, Fabryczna"
39.84,565000,"Wrocław, Śródmieście"
44.3,639000,"Wrocław, Psie Pole"
40.25,629000,"Wrocław, Fabryczna"
42.52,545300,"Wrocław, Krzyki"
20.0,190000,"Wrocław, Psie Pole"
44.5,665000,"Wrocław, Psie Pole"
62.0,1080000,"Wrocław, Krzyki"
56.0,639000,"Wrocław, Stare Miasto"
66.0,829000,"Wrocław, Stare Miasto"
58.0,800000,Wrocław
44.8,573000,"Wrocław, Krzyki"
53.78,635000,"Wrocław, Krzyki"
40.0,570000,"Wrocław, Krzyki"
34.3,485000,"Wrocław, Fabryczna"
38.9,485000,"Wrocław, Psie Pole"
39.1,500000,Wrocław
68.0,699000,"Wrocław, Śródmieście"
52.8,644000,Wrocław
53.31,629058,"Wrocław, Krzyki"
50.0,684000,Wrocław
70.0,650000,"Wrocław, Fabryczna"
42.0,719000,"Wrocław, Psie Pole"
26.0,330950,"Wrocław, Fabryczna"
56.0,699000,"Wrocław, Śródmieście"
54.84,798998,"Wrocław, Psie Pole"
64.0,749000,"Wrocław, Krzyki"
33.81,519999,"Wrocław, Krzyki"
53.7,569000,"Wrocław, Krzyki"
48.8,618999,"Wrocław, Fabryczna"
67.2,780000,"Wrocław, Fabryczna"
135.5,1590000,"Wrocław, Krzyki"
34.0,499000,"Wrocław, Krzyki"
43.0,669000,"Wrocław, Psie Pole"
42.34,635000,"Wrocław, Krzyki"
52.04,624000,"Wrocław, Psie Pole"
60.0,610000,"Wrocław, Psie Pole"
42.0,549000,"Wrocław, Fabryczna"
71.5,786499,Wrocław
68.6,889000,"Wrocław, Fabryczna"
39.8,830000,"Wrocław, Stare Miasto"
60.0,630000,"Wrocław, Fabryczna"
35.3,525000,"Wrocław, Fabryczna"
32.0,430000,Wrocław
54.0,640000,"Wrocław, Fabryczna"
148.97,2234000,"Wrocław, Śródmieście"
53.0,580000,"Wrocław, Fabryczna"
52.95,841905,"Wrocław, Śródmieście"
26.0,330950,"Wrocław, Fabryczna"
64.0,590000,"Wrocław, Krzyki"
43.57,888000,"Wrocław, Stare Miasto"
51.0,611550,"Wrocław, Fabryczna"
42.0,489400,"Wrocław, Fabryczna"
48.1,636150,"Wrocław, Krzyki"
28.6,475000,"Wrocław, Fabryczna"
30.0,368950,"Wrocław, Fabryczna"
60.47,799000,"Wrocław, Fabryczna"
76.0,950000,"Wrocław, Śródmieście"
50.71,887000,"Wrocław, Fabryczna"
50.0,709000,"Wrocław, Krzyki"
38.9,485000,"Wrocław, Psie Pole"
39.22,570000,"Wrocław, Krzyki"
48.27,676000,"Wrocław, Krzyki"
41.84,606000,"Wrocław, Fabryczna"
48.17,660000,"Wrocław, Psie Pole"
26.0,331000,"Wrocław, Fabryczna"
60.79,830000,"Wrocław, Stare Miasto"
72.0,702637,"Wrocław, Fabryczna"
38.0,520000,"Wrocław, Śródmieście"
60.0,610000,"Wrocław, Psie Pole"
23.0,279000,"Wrocław, Psie Pole"
60.62,1290000,"Wrocław, Krzyki"
42.0,599900,"Wrocław, Fabryczna"
135.5,1590000,"Wrocław, Krzyki"
65.5,728000,"Wrocław, Psie Pole"
50.0,499000,"Wrocław, Stare Miasto"
44.0,568000,"Wrocław, Fabryczna"
68.0,790000,"Wrocław, Fabryczna"
23.0,279000,"Wrocław, Psie Pole"
184.0,3177700,"Wrocław, Fabryczna"
54.13,745000,"Wrocław, Krzyki"
59.0,799000,Wrocław
58.0,635000,"Wrocław, Psie Pole"
63.2,697900,"Wrocław, Krzyki"
42.0,639000,"Wrocław, Krzyki"
40.04,740700,"Wrocław, Krzyki"
60.0,610000,"Wrocław, Psie Pole"
70.6,940000,"Wrocław, Fabryczna"
